UniProt,GeneName,Group,FullName
Q06265,EXOSC9,Non-kinase,Exosome component 9
Q99502,EYA1,Non-kinase,Eya transcriptional coactivator and phosphatase 1
Q99504,EYA3,Non-kinase,Eya transcriptional coactivator and phosphatase 3
Q15910,EZH2,Non-kinase,Enhancer of zeste 2 polycomb repressive complex 2 subunit
P15311,EZR,Non-kinase,Ezrin
P13726,F3,Non-kinase,"Coagulation factor iii, tissue factor"
P12259,F5,Non-kinase,Coagulation factor v
Q9Y624,F11R,Non-kinase,F11 receptor
P15090,FABP4,Non-kinase,Fatty acid binding protein 4
Q13158,FADD,Non-kinase,Fas associated via death domain
Q9UNN5,FAF1,Non-kinase,Fas associated factor 1
A6ND36,FAM83G,Non-kinase,Family with sequence similarity 83 member g
A1KXE4,FAM168B,Non-kinase,Family with sequence similarity 168 member b
O15360,FANCA,Non-kinase,Fa complementation group a
Q9BXW9,FANCD2,Non-kinase,Fa complementation group d2
Q9HB96,FANCE,Non-kinase,Fa complementation group e
O15287,FANCG,Non-kinase,Fa complementation group g
Q9NVI1,FANCI,Non-kinase,Fa complementation group i
Q9NW38,FANCL,Non-kinase,Fa complementation group l
Q8IYD8,FANCM,Non-kinase,Fa complementation group m
Q9Y285,FARSA,Non-kinase,Phenylalanyl-trna synthetase subunit alpha
P09467,FBP1,Non-kinase,Fructose-bisphosphatase 1
Q9UKC9,FBXL2,Non-kinase,F-box and leucine rich repeat protein 2
Q96IG2,FBXL20,Non-kinase,F-box and leucine rich repeat protein 20
Q9UKT6,FBXL21P,Non-kinase,"F-box and leucine rich repeat protein 21, pseudogene"
Q9UKT5,FBXO4,Non-kinase,F-box protein 4
Q9UKT4,FBXO5,Non-kinase,F-box protein 5
Q8NEZ5,FBXO22,Non-kinase,F-box protein 22
Q8TCJ0,FBXO25,Non-kinase,F-box protein 25
Q5XUX0,FBXO31,Non-kinase,F-box protein 31
Q4G163,FBXO43,Non-kinase,F-box protein 43
Q969U6,FBXW5,Non-kinase,F-box and wd repeat domain containing 5
Q969H0,FBXW7,Non-kinase,F-box and wd repeat domain containing 7
P24071,FCAR,Non-kinase,Fc alpha receptor
P30273,FCER1G,Non-kinase,Fc epsilon receptor ig
P12318,FCGR2A,Non-kinase,Fc gamma receptor iia
P31994,FCGR2B,Non-kinase,Fc gamma receptor iib
P31995,FCGR2C,Non-kinase,Fc gamma receptor iic (gene/pseudogene)
Q96P31,FCRL3,Non-kinase,Fc receptor like 3
P39748,FEN1,Non-kinase,Flap structure-specific endonuclease 1
P16591,FER,TK,Fer tyrosine kinase
Q96AC1,FERMT2,Non-kinase,Ferm domain containing kindlin 2
Q86UX7,FERMT3,Non-kinase,Ferm domain containing kindlin 3
P07332,FES,TK,"Fes proto-oncogene, tyrosine kinase"
Q99689,FEZ1,Non-kinase,Fasciculation and elongation protein zeta 1
Q5NUL3,FFAR4,Non-kinase,Free fatty acid receptor 4
P02671,FGA,Non-kinase,Fibrinogen alpha chain
P05230,FGF1,Non-kinase,Fibroblast growth factor 1
P09038,FGF2,Non-kinase,Fibroblast growth factor 2
Q92915,FGF14,Non-kinase,Fibroblast growth factor 14
P11362,FGFR1,TK,Fibroblast growth factor receptor 1
P21802,FGFR2,TK,Fibroblast growth factor receptor 2
P22607,FGFR3,TK,Fibroblast growth factor receptor 3
P22455,FGFR4,TK,Fibroblast growth factor receptor 4
P09769,FGR,TK,"Fgr proto-oncogene, src family tyrosine kinase"
P07954,FH,Non-kinase,Fumarate hydratase
Q86V87,FHIP2B,Non-kinase,Fhf complex subunit hook interacting protein 2b
P49789,FHIT,Non-kinase,Fragile histidine triad diadenosine triphosphatase
Q13642,FHL1,Non-kinase,Four and a half lim domains 1
Q14192,FHL2,Non-kinase,Four and a half lim domains 2
Q9Y613,FHOD1,Non-kinase,Formin homology 2 domain containing 1
Q6UN15,FIP1L1,Non-kinase,Factor interacting with papola and cpsf1
Q9NSG2,FIRRM,Non-kinase,Fignl1 interacting regulator of recombination and mitosis
Q9Y3D6,FIS1,Non-kinase,"Fission, mitochondrial 1"
Q02790,FKBP4,Non-kinase,Fkbp prolyl isomerase 4
Q13451,FKBP5,Non-kinase,Fkbp prolyl isomerase 5
Q8NFG4,FLCN,Non-kinase,Folliculin
Q01543,FLI1,Non-kinase,"Fli-1 proto-oncogene, ets transcription factor"
Q13045,FLII,Non-kinase,Flii actin remodeling protein
P21333,FLNA,Non-kinase,Filamin a
Q14315,FLNC,Non-kinase,Filamin c
O75955,FLOT1,Non-kinase,Flotillin 1
Q14254,FLOT2,Non-kinase,Flotillin 2
P17948,FLT1,TK,Fms related receptor tyrosine kinase 1
P36888,FLT3,TK,Fms related receptor tyrosine kinase 3
P35916,FLT4,TK,Fms related receptor tyrosine kinase 4
Q96PY5,FMNL2,Non-kinase,Formin like 2
Q06787,FMR1,Non-kinase,Fragile x messenger ribonucleoprotein 1
P02751,FN1,Non-kinase,Fibronectin 1
Q8TF40,FNIP1,Non-kinase,Folliculin interacting protein 1
P01100,FOS,Non-kinase,"Fos proto-oncogene, ap-1 transcription factor subunit"
P53539,FOSB,Non-kinase,"Fosb proto-oncogene, ap-1 transcription factor subunit"
P15407,FOSL1,Non-kinase,"Fos like 1, ap-1 transcription factor subunit"
P15408,FOSL2,Non-kinase,"Fos like 2, ap-1 transcription factor subunit"
P55317,FOXA1,Non-kinase,Forkhead box a1
Q9Y261,FOXA2,Non-kinase,Forkhead box a2
Q12948,FOXC1,Non-kinase,Forkhead box c1
Q99958,FOXC2,Non-kinase,Forkhead box c2
P55316,FOXG1,Non-kinase,Forkhead box g1
Q01167,FOXK2,Non-kinase,Forkhead box k2
P58012,FOXL2,Non-kinase,Forkhead box l2
Q08050,FOXM1,Non-kinase,Forkhead box m1
P32314,FOXN2,Non-kinase,Forkhead box n2
Q12778,FOXO1,Non-kinase,Forkhead box o1
O43524,FOXO3,Non-kinase,Forkhead box o3
P98177,FOXO4,Non-kinase,Forkhead box o4
Q9BZS1,FOXP3,Non-kinase,Forkhead box p3
P21462,FPR1,Non-kinase,Formyl peptide receptor 1
Q92837,FRAT1,Non-kinase,Frat regulator of wnt signaling pathway 1
P42685,FRK,TK,Fyn related src family tyrosine kinase
O43559,FRS3,Non-kinase,Fibroblast growth factor receptor substrate 3
Q16658,FSCN1,Non-kinase,Fascin actin-bundling protein 1
Q9C0B1,FTO,Non-kinase,Fto alpha-ketoglutarate dependent dioxygenase
Q96AE4,FUBP1,Non-kinase,Far upstream element binding protein 1
Q8IVP5,FUNDC1,Non-kinase,Fun14 domain containing 1
P09958,FURIN,Non-kinase,"Furin, paired basic amino acid cleaving enzyme"
P35637,FUS,Non-kinase,Fus rna binding protein
Q16595,FXN,Non-kinase,Frataxin
P51114,FXR1,Non-kinase,Fmr1 autosomal homolog 1
O00168,FXYD1,Non-kinase,Fxyd domain containing ion transport regulator 1
O15117,FYB1,Non-kinase,Fyn binding protein 1
P06241,FYN,TK,"Fyn proto-oncogene, src family tyrosine kinase"
Q96QD9,FYTTD1,Non-kinase,Forty-two-three domain containing 1
Q9NPG1,FZD3,Non-kinase,Frizzled class receptor 3
O60353,FZD6,Non-kinase,Frizzled class receptor 6
Q9UM11,FZR1,Non-kinase,Fizzy and cell division cycle 20 related 1
Q13283,G3BP1,Non-kinase,G3bp stress granule assembly factor 1
P11413,G6PD,Non-kinase,Glucose-6-phosphate dehydrogenase
Q13480,GAB1,Non-kinase,Grb2 associated binding protein 1
Q9UQC2,GAB2,Non-kinase,Grb2 associated binding protein 2
P60520,GABARAPL2,Non-kinase,Gaba type a receptor associated protein like 2
P18507,GABRG2,Non-kinase,Gamma-aminobutyric acid type a receptor subunit gamma2
P24046,GABRR1,Non-kinase,Gamma-aminobutyric acid type a receptor subunit rho1
Q99259,GAD1,Non-kinase,Glutamate decarboxylase 1
Q8TAE8,GADD45GIP1,Non-kinase,Gadd45g interacting protein 1
O14976,GAK,Other,Cyclin g associated kinase
P17677,GAP43,Non-kinase,Growth associated protein 43
P04406,GAPDH,Non-kinase,Glyceraldehyde-3-phosphate dehydrogenase
Q14C86,GAPVD1,Non-kinase,Gtpase activating protein and vps9 domains 1
Q99501,GAS2L1,Non-kinase,Growth arrest specific 2 like 1
P01350,GAST,Non-kinase,Gastrin
P15976,GATA1,Non-kinase,Gata binding protein 1
P23769,GATA2,Non-kinase,Gata binding protein 2
P23771,GATA3,Non-kinase,Gata binding protein 3
P43694,GATA4,Non-kinase,Gata binding protein 4
Q92908,GATA6,Non-kinase,Gata binding protein 6
Q86YP4,GATAD2A,Non-kinase,Gata zinc finger domain containing 2a
Q92538,GBF1,Non-kinase,Golgi brefeldin a resistant guanine nucleotide exchange factor 1
P30793,GCH1,Non-kinase,Gtp cyclohydrolase 1
Q9NP62,GCM1,Non-kinase,Glial cells missing transcription factor 1
Q8N6F7,GCSAM,Non-kinase,Germinal center associated signaling and motility
P50395,GDI2,Non-kinase,Gdp dissociation inhibitor 2
P55040,GEM,Non-kinase,Gtp binding protein overexpressed in skeletal muscle
P14136,GFAP,Non-kinase,Glial fibrillary acidic protein
Q99684,GFI1,Non-kinase,Growth factor independent 1 transcriptional repressor
Q06210,GFPT1,Non-kinase,Glutamine--fructose-6-phosphate transaminase 1
Q9UJY5,GGA1,Non-kinase,"Golgi associated, gamma adaptin ear containing, arf binding protein 1"
P10912,GHR,Non-kinase,Growth hormone receptor
Q9UBU3,GHRL,Non-kinase,Ghrelin and obestatin prepropeptide
Q6Y7W6,GIGYF2,Non-kinase,Grb10 interacting gyf protein 2
Q9Y248,GINS2,Non-kinase,Gins complex subunit 2
Q9Y2X7,GIT1,Non-kinase,Git arfgap 1
Q14161,GIT2,Non-kinase,Git arfgap 2
P17302,GJA1,Non-kinase,Gap junction protein alpha 1
P36382,GJA5,Non-kinase,Gap junction protein alpha 5
P08034,GJB1,Non-kinase,Gap junction protein beta 1
Q5VSY0,GKAP1,Non-kinase,G kinase anchoring protein 1
Q53GS7,GLE1,Non-kinase,Gle1 rna export mediator
P08151,GLI1,Non-kinase,Gli family zinc finger 1
P10070,GLI2,Non-kinase,Gli family zinc finger 2
P10071,GLI3,Non-kinase,Gli family zinc finger 3
Q04760,GLO1,Non-kinase,Glyoxalase i
P23415,GLRA1,Non-kinase,Glycine receptor alpha 1
P48167,GLRB,Non-kinase,Glycine receptor beta
O94925,GLS,Non-kinase,Glutaminase
P60983,GMFB,Non-kinase,Glia maturation factor beta
O60234,GMFG,Non-kinase,Glia maturation factor gamma
O75496,GMNN,Non-kinase,Geminin dna replication inhibitor
P36959,GMPR,Non-kinase,Guanosine monophosphate reductase
P49915,GMPS,Non-kinase,Guanine monophosphate synthase
Q14344,GNA13,Non-kinase,G protein subunit alpha 13
P30679,GNA15,Non-kinase,G protein subunit alpha 15
P63096,GNAI1,Non-kinase,G protein subunit alpha i1
P04899,GNAI2,Non-kinase,G protein subunit alpha i2
P11488,GNAT1,Non-kinase,G protein subunit alpha transducin 1
P19086,GNAZ,Non-kinase,G protein subunit alpha z
Q14749,GNMT,Non-kinase,Glycine n-methyltransferase
Q08379,GOLGA2,Non-kinase,Golgin a2
Q13439,GOLGA4,Non-kinase,Golgin a4
Q9H4A6,GOLPH3,Non-kinase,Golgi phosphoprotein 3
Q9BQQ3,GORASP1,Non-kinase,Golgi reassembly stacking protein 1
Q9H8Y8,GORASP2,Non-kinase,Golgi reassembly stacking protein 2
P13224,GP1BB,Non-kinase,Glycoprotein ib platelet subunit beta
P06744,GPI,Non-kinase,Glucose-6-phosphate isomerase
Q92917,GPKOW,Non-kinase,G-patch domain and kow motifs
P51674,GPM6A,Non-kinase,Glycoprotein m6a
P49685,GPR15,Non-kinase,G protein-coupled receptor 15
Q8NFJ5,GPRC5A,Non-kinase,G protein-coupled receptor class c group 5 member a
Q13098,GPS1,Non-kinase,G protein pathway suppressor 1
P81274,GPSM2,Non-kinase,G protein signaling modulator 2
Q9Y4H4,GPSM3,Non-kinase,G protein signaling modulator 3
P07203,GPX1,Non-kinase,Glutathione peroxidase 1
O75791,GRAP2,Non-kinase,Grb2 related adaptor protein 2
P62993,GRB2,Non-kinase,Growth factor receptor bound protein 2
Q14451,GRB7,Non-kinase,Growth factor receptor bound protein 7
Q13322,GRB10,Non-kinase,Growth factor receptor bound protein 10
Q14449,GRB14,Non-kinase,Growth factor receptor bound protein 14
Q9NZI5,GRHL1,Non-kinase,Grainyhead like transcription factor 1
Q8TE85,GRHL3,Non-kinase,Grainyhead like transcription factor 3
P42261,GRIA1,Non-kinase,Glutamate ionotropic receptor ampa type subunit 1
P42262,GRIA2,Non-kinase,Glutamate ionotropic receptor ampa type subunit 2
P48058,GRIA4,Non-kinase,Glutamate ionotropic receptor ampa type subunit 4
Q13002,GRIK2,Non-kinase,Glutamate ionotropic receptor kainate type subunit 2
Q05586,GRIN1,Non-kinase,Glutamate ionotropic receptor nmda type subunit 1
Q12879,GRIN2A,Non-kinase,Glutamate ionotropic receptor nmda type subunit 2a
Q13224,GRIN2B,Non-kinase,Glutamate ionotropic receptor nmda type subunit 2b
Q15835,GRK1,AGC,G protein-coupled receptor kinase 1
P25098,GRK2,AGC,G protein-coupled receptor kinase 2
P35626,GRK3,AGC,G protein-coupled receptor kinase 3
P32298,GRK4,AGC,G protein-coupled receptor kinase 4
P34947,GRK5,AGC,G protein-coupled receptor kinase 5
P43250,GRK6,AGC,G protein-coupled receptor kinase 6
Q8WTQ7,GRK7,AGC,G protein-coupled receptor kinase 7
Q13255,GRM1,Non-kinase,Glutamate metabotropic receptor 1
P41594,GRM5,Non-kinase,Glutamate metabotropic receptor 5
P28799,GRN,Non-kinase,Granulin precursor
P49840,GSK3A,CMGC,Glycogen synthase kinase 3 alpha
P49841,GSK3B,CMGC,Glycogen synthase kinase 3 beta
P06396,GSN,Non-kinase,Gelsolin
P00390,GSR,Non-kinase,Glutathione-disulfide reductase
O15217,GSTA4,Non-kinase,Glutathione s-transferase alpha 4
P09211,GSTP1,Non-kinase,Glutathione s-transferase pi 1
P52655,GTF2A1,Non-kinase,General transcription factor iia subunit 1
Q9UNN4,GTF2A1L,Non-kinase,General transcription factor iia subunit 1 like
P35269,GTF2F1,Non-kinase,General transcription factor iif subunit 1
P78347,GTF2I,Non-kinase,General transcription factor iii
Q12789,GTF3C1,Non-kinase,General transcription factor iiic subunit 1
Q9NYZ3,GTSE1,Non-kinase,G2 and s-phase expressed 1
Q02153,GUCY1B1,Non-kinase,Guanylate cyclase 1 soluble subunit beta 1
P13807,GYS1,Non-kinase,Glycogen synthase 1
Q02539,H1-1,Non-kinase,"H1.1 linker histone, cluster member"
P16403,H1-2,Non-kinase,"H1.2 linker histone, cluster member"
P10412,H1-4,Non-kinase,"H1.4 linker histone, cluster member"
P16401,H1-5,Non-kinase,"H1.5 linker histone, cluster member"
Q96QV6,H2AC1,Non-kinase,H2a clustered histone 1
Q93077,H2AC6,Non-kinase,H2a clustered histone 6
P0C0S8,H2AC11,Non-kinase,H2a clustered histone 11
P0C0S8,H2AC13,Non-kinase,H2a clustered histone 13
P0C0S8,H2AC15,Non-kinase,H2a clustered histone 15
P0C0S8,H2AC16,Non-kinase,H2a clustered histone 16
P0C0S8,H2AC17,Non-kinase,H2a clustered histone 17
Q96KK5,H2AC12,Non-kinase,H2a clustered histone 12
Q99878,H2AC14,Non-kinase,H2a clustered histone 14
Q6FI13,H2AC18,Non-kinase,H2a clustered histone 18
Q6FI13,H2AC19,Non-kinase,H2a clustered histone 19
Q8IUE6,H2AC21,Non-kinase,H2a clustered histone 21
Q7L7L0,H2AC25,Non-kinase,H2a clustered histone 25
P16104,H2AX,Non-kinase,H2a.x variant histone
P33778,H2BC3,Non-kinase,H2b clustered histone 3
P62807,H2BC4,Non-kinase,H2b clustered histone 4
P62807,H2BC6,Non-kinase,H2b clustered histone 6
P62807,H2BC7,Non-kinase,H2b clustered histone 7
P62807,H2BC8,Non-kinase,H2b clustered histone 8
P62807,H2BC10,Non-kinase,H2b clustered histone 10
P58876,H2BC5,Non-kinase,H2b clustered histone 5
Q93079,H2BC9,Non-kinase,H2b clustered histone 9
P06899,H2BC11,Non-kinase,H2b clustered histone 11
O60814,H2BC12,Non-kinase,H2b clustered histone 12
P57053,H2BC12L,Non-kinase,H2b clustered histone 12 like
Q99880,H2BC13,Non-kinase,H2b clustered histone 13
Q99879,H2BC14,Non-kinase,H2b clustered histone 14
Q99877,H2BC15,Non-kinase,H2b clustered histone 15
P23527,H2BC17,Non-kinase,H2b clustered histone 17
Q5QNW6,H2BC18,Non-kinase,H2b clustered histone 18
Q6DRA6,H2BC19P,Non-kinase,"H2b clustered histone 19, pseudogene"
Q6DN03,H2BC20P,Non-kinase,"H2b clustered histone 20, pseudogene"
Q16778,H2BC21,Non-kinase,H2b clustered histone 21
Q8N257,H2BC26,Non-kinase,H2b clustered histone 26
P84243,H3-3A,Non-kinase,H3.3 histone a
P84243,H3-3B,Non-kinase,H3.3 histone b
Q16695,H3-4,Non-kinase,"H3.4 histone, cluster member"
P68431,H3C1,Non-kinase,H3 clustered histone 1
P68431,H3C2,Non-kinase,H3 clustered histone 2
P68431,H3C3,Non-kinase,H3 clustered histone 3
P68431,H3C4,Non-kinase,H3 clustered histone 4
P68431,H3C6,Non-kinase,H3 clustered histone 6
P68431,H3C7,Non-kinase,H3 clustered histone 7
P68431,H3C8,Non-kinase,H3 clustered histone 8
P68431,H3C10,Non-kinase,H3 clustered histone 10
P68431,H3C11,Non-kinase,H3 clustered histone 11
P68431,H3C12,Non-kinase,H3 clustered histone 12
Q71DI3,H3C13,Non-kinase,H3 clustered histone 13
Q71DI3,H3C14,Non-kinase,H3 clustered histone 14
Q71DI3,H3C15,Non-kinase,H3 clustered histone 15
P62805,H4C1,Non-kinase,H4 clustered histone 1
P62805,H4C2,Non-kinase,H4 clustered histone 2
P62805,H4C3,Non-kinase,H4 clustered histone 3
P62805,H4C4,Non-kinase,H4 clustered histone 4
P62805,H4C5,Non-kinase,H4 clustered histone 5
P62805,H4C6,Non-kinase,H4 clustered histone 6
P62805,H4C8,Non-kinase,H4 clustered histone 8
P62805,H4C9,Non-kinase,H4 clustered histone 9
P62805,H4C11,Non-kinase,H4 clustered histone 11
P62805,H4C12,Non-kinase,H4 clustered histone 12
P62805,H4C13,Non-kinase,H4 clustered histone 13
P62805,H4C14,Non-kinase,H4 clustered histone 14
P62805,H4C15,Non-kinase,H4 clustered histone 15
P62805,H4C16,Non-kinase,H4 histone 16
Q5JVS0,HABP4,Non-kinase,Hyaluronan binding protein 4
Q8IYU2,HACE1,Non-kinase,Hect domain and ankyrin repeat containing e3 ubiquitin protein ligase 1
O96004,HAND1,Non-kinase,Heart and neural crest derivatives expressed 1
Q92819,HAS2,Non-kinase,Hyaluronan synthase 2
Q8TF76,HASPIN,Other,Histone h3 associated protein kinase
O14929,HAT1,Non-kinase,Histone acetyltransferase 1
Q9BT25,HAUS8,Non-kinase,Haus augmin like complex subunit 8
Q8TDQ0,HAVCR2,Non-kinase,Hepatitis a virus cellular receptor 2
O00165,HAX1,Non-kinase,Hcls1 associated protein x-1
O60381,HBP1,Non-kinase,Hmg-box transcription factor 1
P08631,HCK,TK,"Hck proto-oncogene, src family tyrosine kinase"
P14317,HCLS1,Non-kinase,Hematopoietic cell-specific lyn substrate 1
Q9Y3Q4,HCN4,Non-kinase,Hyperpolarization activated cyclic nucleotide gated potassium channel 4
O43613,HCRTR1,Non-kinase,Hypocretin receptor 1
Q13547,HDAC1,Non-kinase,Histone deacetylase 1
Q92769,HDAC2,Non-kinase,Histone deacetylase 2
O15379,HDAC3,Non-kinase,Histone deacetylase 3
P56524,HDAC4,Non-kinase,Histone deacetylase 4
Q9UQL6,HDAC5,Non-kinase,Histone deacetylase 5
Q9UBN7,HDAC6,Non-kinase,Histone deacetylase 6
Q8WUI4,HDAC7,Non-kinase,Histone deacetylase 7
Q9BY41,HDAC8,Non-kinase,Histone deacetylase 8
Q9UKV0,HDAC9,Non-kinase,Histone deacetylase 9
Q00341,HDLBP,Non-kinase,High density lipoprotein binding protein
Q5T447,HECTD3,Non-kinase,Hect domain e3 ubiquitin protein ligase 3
Q9NRZ9,HELLS,Non-kinase,"Helicase, lymphoid specific"
Q14469,HES1,Non-kinase,Hes family bhlh transcription factor 1
Q5TA89,HES5,Non-kinase,Hes family bhlh transcription factor 5
Q96HZ4,HES6,Non-kinase,Hes family bhlh transcription factor 6
O94992,HEXIM1,Non-kinase,Hexim p-tefb complex subunit 1
O14964,HGS,Non-kinase,Hepatocyte growth factor-regulated tyrosine kinase substrate
Q03014,HHEX,Non-kinase,Hematopoietically expressed homeobox
Q14526,HIC1,Non-kinase,Hic zbtb transcriptional repressor 1
Q16665,HIF1A,Non-kinase,Hypoxia inducible factor 1 subunit alpha
O00291,HIP1,Non-kinase,Huntingtin interacting protein 1
Q86Z02,HIPK1,CMGC,Homeodomain interacting protein kinase 1
Q9H2X6,HIPK2,CMGC,Homeodomain interacting protein kinase 2
Q9H422,HIPK3,CMGC,Homeodomain interacting protein kinase 3
Q8NE63,HIPK4,CMGC,Homeodomain interacting protein kinase 4
P54198,HIRA,Non-kinase,Histone cell cycle regulator
P15822,HIVEP1,Non-kinase,Hivep zinc finger 1
Q8NCD3,HJURP,Non-kinase,Holliday junction recognition protein
P19367,HK1,Non-kinase,Hexokinase 1
P52789,HK2,Non-kinase,Hexokinase 2
P04439,HLA-A,Non-kinase,"Major histocompatibility complex, class i, a"
P01889,HLA-B,Non-kinase,"Major histocompatibility complex, class i, b"
P17096,HMGA1,Non-kinase,High mobility group at-hook 1
P52926,HMGA2,Non-kinase,High mobility group at-hook 2
P09429,HMGB1,Non-kinase,High mobility group box 1
P04035,HMGCR,Non-kinase,3-hydroxy-3-methylglutaryl-coa reductase
Q01581,HMGCS1,Non-kinase,3-hydroxy-3-methylglutaryl-coa synthase 1
P05114,HMGN1,Non-kinase,High mobility group nucleosome binding domain 1
P05204,HMGN2,Non-kinase,High mobility group nucleosomal binding domain 2
P82970,HMGN5,Non-kinase,High mobility group nucleosome binding domain 5
P09601,HMOX1,Non-kinase,Heme oxygenase 1
P30519,HMOX2,Non-kinase,Heme oxygenase 2
P20823,HNF1A,Non-kinase,Hnf1 homeobox a
P41235,HNF4A,Non-kinase,Hepatocyte nuclear factor 4 alpha
Q13151,HNRNPA0,Non-kinase,Heterogeneous nuclear ribonucleoprotein a0
P09651,HNRNPA1,Non-kinase,Heterogeneous nuclear ribonucleoprotein a1
P22626,HNRNPA2B1,Non-kinase,Heterogeneous nuclear ribonucleoprotein a2/b1
P07910,HNRNPC,Non-kinase,Heterogeneous nuclear ribonucleoprotein c
Q14103,HNRNPD,Non-kinase,Heterogeneous nuclear ribonucleoprotein d
P52597,HNRNPF,Non-kinase,Heterogeneous nuclear ribonucleoprotein f
P31943,HNRNPH1,Non-kinase,Heterogeneous nuclear ribonucleoprotein h1
P55795,HNRNPH2,Non-kinase,Heterogeneous nuclear ribonucleoprotein h2
P61978,HNRNPK,Non-kinase,Heterogeneous nuclear ribonucleoprotein k
P14866,HNRNPL,Non-kinase,Heterogeneous nuclear ribonucleoprotein l
P52272,HNRNPM,Non-kinase,Heterogeneous nuclear ribonucleoprotein m
Q00839,HNRNPU,Non-kinase,Heterogeneous nuclear ribonucleoprotein u
Q9BUJ2,HNRNPUL1,Non-kinase,Heterogeneous nuclear ribonucleoprotein u like 1
P31270,HOXA11,Non-kinase,Homeobox a11
P09629,HOXB7,Non-kinase,Homeobox b7
P01112,HRAS,Non-kinase,"Hras proto-oncogene, gtpase"
P35367,HRH1,Non-kinase,Histamine receptor h1
P51659,HSD17B4,Non-kinase,Hydroxysteroid 17-beta dehydrogenase 4
Q00613,HSF1,Non-kinase,Heat shock transcription factor 1
Q9ULV5,HSF4,Non-kinase,Heat shock transcription factor 4
P07900,HSP90AA1,Non-kinase,Heat shock protein 90 alpha family class a member 1
P08238,HSP90AB1,Non-kinase,Heat shock protein 90 alpha family class b member 1
P14625,HSP90B1,Non-kinase,Heat shock protein 90 beta family member 1
P0DMV8,HSPA1A,Non-kinase,Heat shock protein family a (hsp70) member 1a
P34931,HSPA1L,Non-kinase,Heat shock protein family a (hsp70) member 1 like
P38646,HSPA9,Non-kinase,Heat shock protein family a (hsp70) member 9
P04792,HSPB1,Non-kinase,Heat shock protein family b (small) member 1
O14558,HSPB6,Non-kinase,Heat shock protein family b (small) member 6
Q9UJY1,HSPB8,Non-kinase,Heat shock protein family b (small) member 8
Q92598,HSPH1,Non-kinase,Heat shock protein family h (hsp110) member 1
P08908,HTR1A,Non-kinase,5-hydroxytryptamine receptor 1a
P50406,HTR6,Non-kinase,5-hydroxytryptamine receptor 6
O43464,HTRA2,Non-kinase,Htra serine peptidase 2
P42858,HTT,Non-kinase,Huntingtin
P57058,HUNK,CAMK,Hormonally up-regulated neu-associated kinase
Q7Z6Z7,HUWE1,Non-kinase,"Hect, uba and wwe domain containing e3 ubiquitin protein ligase 1"
Q96D96,HVCN1,Non-kinase,Hydrogen voltage gated channel 1
Q9P2D0,IBTK,Non-kinase,Inhibitor of bruton tyrosine kinase
P32942,ICAM3,Non-kinase,Intercellular adhesion molecule 3
O75144,ICOSLG,Non-kinase,Inducible t cell costimulator ligand
P41134,ID1,Non-kinase,Inhibitor of dna binding 1
Q02363,ID2,Non-kinase,Inhibitor of dna binding 2
Q02535,ID3,Non-kinase,Inhibitor of dna binding 3
O75874,IDH1,Non-kinase,Isocitrate dehydrogenase (nadp(+)) 1
Q13907,IDI1,Non-kinase,Isopentenyl-diphosphate delta isomerase 1
P46695,IER3,Non-kinase,Immediate early response 3
Q16666,IFI16,Non-kinase,Interferon gamma inducible protein 16
Q9BYX4,IFIH1,Non-kinase,Interferon induced with helicase c domain 1
Q01628,IFITM3,Non-kinase,Interferon induced transmembrane protein 3
P17181,IFNAR1,Non-kinase,Interferon alpha and beta receptor subunit 1
P15260,IFNGR1,Non-kinase,Interferon gamma receptor 1
P08069,IGF1R,TK,Insulin like growth factor 1 receptor
P11717,IGF2R,Non-kinase,Insulin like growth factor 2 receptor
P08833,IGFBP1,Non-kinase,Insulin like growth factor binding protein 1
P17936,IGFBP3,Non-kinase,Insulin like growth factor binding protein 3
O14920,IKBKB,Other,Inhibitor of nuclear factor kappa b kinase subunit beta
Q14164,IKBKE,Other,Inhibitor of nuclear factor kappa b kinase subunit epsilon
Q9Y6K9,IKBKG,Non-kinase,Inhibitor of nuclear factor kappa b kinase regulatory subunit gamma
Q13422,IKZF1,Non-kinase,Ikaros family zinc finger 1
Q9UKT9,IKZF3,Non-kinase,Ikaros family zinc finger 3
P01589,IL2RA,Non-kinase,Interleukin 2 receptor subunit alpha
P14784,IL2RB,Non-kinase,Interleukin 2 receptor subunit beta
P40189,IL6ST,Non-kinase,Interleukin 6 cytokine family signal transducer
Q13651,IL10RA,Non-kinase,Interleukin 10 receptor subunit alpha
Q13261,IL15RA,Non-kinase,Interleukin 15 receptor subunit alpha
Q14005,IL16,Non-kinase,Interleukin 16
Q96F46,IL17RA,Non-kinase,Interleukin 17 receptor a
Q9NRM6,IL17RB,Non-kinase,Interleukin 17 receptor b
Q12906,ILF3,Non-kinase,Interleukin enhancer binding factor 3
Q13418,ILK,TKL,Integrin linked kinase
Q9H6K1,ILRUN,Non-kinase,Inflammation and lipid regulator with uba-like and nbr1-like domains
Q16891,IMMT,Non-kinase,Inner membrane mitochondrial protein
P12268,IMPDH2,Non-kinase,Inosine monophosphate dehydrogenase 2
Q0VD86,INCA1,Non-kinase,"Inhibitor of cdk, cyclin a1 interacting protein 1"
Q9NQS7,INCENP,Non-kinase,Inner centromere protein
Q27J81,INF2,Non-kinase,Inverted formin 2
Q9UK53,ING1,Non-kinase,Inhibitor of growth family member 1
